body,company,location,salary,title
"Creator Marketplace is the home for Spotify’s music industry products, such as Spotify for Artists, Spotify Label Analytics and Spotify Publisher Analytics.

The Creator Product Insights Team is a thriving insights community of 20+ Data Scientists and User Researchers who blend their skills to help us shape the future of the Creator Marketplace by defining the next generation of music industry products.

We are looking for a Data Scientist to help us continue to develop our music industry products, and develop best-in-class expression and promotion tools for Creators and their teams by exploring the following questions: How do we help artists stand out? How do we help them grow and reach new audiences? How do we help them connect with their fans?

Our mission is to turn terabytes of data into insights and get a deep understanding of the world of music and their creators. You will study user behaviour, evaluate strategic initiatives and experiment with new features.

Together, we’ll... come up with exciting and effective ways to help artists succeed. You’ll join us to craft a strategy rooted firmly in data, that delivers on a future vision for the music industry through effective planning, behavioral analysis, experimentation, optimization. You’ll pair with user researchers, product and design to understand the performance of products and their impact on the market.
What you’ll do
• Work closely with cross-functional teams of data scientists, product managers, designers and engineers who are passionate about Spotify’s success
• Develop a deep understanding of how product and platforms influence user behaviour
• Be a strategic partner to product development teams, making and give recommendations when needed

Who you are
• You know how to scope and solve loosely defined problems and come up with actionable insights to guide product development decisions
• You have a deep understanding of statistics and experience working with real-world data, as well as a strong business sense
• You have 4+ years of relevant experience, with a degree in statistics, mathematics, computer science, economics, psychology or another quantitative discipline
• You have the technical competence to perform advanced analytics: coding skills (such as Python or Scala), experience with analytics tools (Pandas, R, SPSS or SQL) and experience performing analysis with large datasets
• You possess statistical competence (such as regression modelling, a/b testing, significance testing etc)

It is a plus if you
• have demonstrated experience with hands-on statistical modelling and possess knowledge about machine learning (such as predictive modelling, decision trees, classification models, clustering techniques)

We’re looking for Data Scientists to join us at multiple levels. We will have an open discussion throughout the interview process about assessing which level and platform you fall within at Spotify.

We are proud to foster a workplace free from discrimination. We strongly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better product for our users and our creators. This is something we value deeply and we encourage everyone to come be a part of changing the way the world listens to music",Spotify,"New York, NY",,"Senior Data Scientist, Creator Marketplace"
"Principal Data Scientist
New York, New York
$190,000 - $200,000 base salary + benefits

One of our fastest growing clients in New York City is looking to expand their strong Data Science team. They have seen great success within healthcare focusing on multiple areas of need. They are one of the leaders within the space and because of their rapid growth rate, opportunities are endless

They need an experienced Data Scientist to come on and be the technical leader for their expanding team.

THE ROLE
• You will analyze medical images with Machine Learning to develop better tools for understanding diagnoses.
• You will report directly into the VP of Analytics and work closely on business strategy.
• You will implement and design code and build out to production using various Machine Learning techniques with access to tons of healthcare data.
• Be part of a fast growing team with excellent growth opportunity.

YOUR SKILLS AND EXPERIENCE

The successful Principal Data Scientist will likely... have the following skills and experience:
• Heavy experience using Python, R, SQL and AWS for predictive modeling and data manipulation
• Big Data Experience desired
• Strong statistical understanding, building models with Machine Learning
• Prior experience leading a Data Science team desired
• Effective communicator with clients, junior team members and stakeholders
• Healthcare experience preferred
• Master's degree in Computer Science or similar field, PhD a plus
• Deep Learning or Natural Language Processing experience a plus

THE BENEFITS

A competitive base salary of $190,000 - $200,000 + bonus + benefits.

HOW TO APPLY

Please register your interest by sending your résumé to Tim Jonas via the Apply link on this page.

KEYWORDS

Machine Learning | Python | SQL | AWS | Data Science | Analytics | Healthcare | Big Data | Health",Harnham US,"New York, NY",,Principal Data Scientist
"We are looking for a Senior Data Scientist with numerical optimization who would like to mentor other data scientists and take charge of our team's predictive and optimization modeling. We are a brand-name media company excited about bringing on candidates excited about joining us!

What's the Job?

As the Senior (or Principal) Data Scientist, you will be reporting to a VP of Data Science and mentoring a team of three other more junior data scientists. Our team is growing quickly and adopting the latest and greatest new technologies to keep up to step with our competition. We take in petabytes of data related to the behavior of the audience to our TV and online properties, and we are using that data to predict behavior and optimize the advertising strategy for our clients.

This is a truly quantitative role where you can flex your math skills and use the experience you have had at two or three other companies here. Ideally one of those prior companies was in advertising or adtech. We... have lots of new projects we are working on and have planned, and you would play a large part in this.

What Skills Do You Need?

• Numerical optimization experience

• Experience building, testing, refining and putting into production machine learning models

• Master's or PhD in a STEM field

• A big ""Plus"" would be experience working in the advertising or marketing industry

• It's a ""Plus"" if you know Scala and/or NLP

Who are We?

We are located in Midtown Manhattan and are one of the world’s leading media and entertainment companies in the development, production, and marketing of entertainment, news, and information to a global audience.

What Do We Pay?

• $150,000 - $180,000 base salary

• Generous bonus package

• Generous 401(k)

• Paid Vacation and Time Off

• Full Medical, Vision and Dental

• Continuing education budget

What's In It For You?

If you are looking to take the next step in your career, this is an amazing opportunity. You will join a large company with lots of Big Data to work with and more junior candidates you can mentor",Averity,"New York, NY",,Senior Data Scientist (Advertising/Media)
"About the Role:

We have a Major Consultancy client that is hiring several Senior/Principal-level Data Scientist Consultants now in New York City.

They are Contract-to-Hire or Full-time Hire positions and you will work on-site at large well-known financial services client.

They are long-term (1 yr+) assignments and the work is focused on commercial risk modeling and fraud detection

About You:
No managers…self-starters, an experienced Data Scientist, individual-contributors, consultative and deep technology acumen. Need to be able to start working in the next 30 days or so.

Skills/Exp:
• 3-9 Yrs Exp as a Data Scientist
• Familiarity with commercial risk modeling / or fraud detection from unstructured data.
• Able to develop and deploy ML/AI-models in the cloud (AWS, Azure, Google Cloud)
• Machine Learning, A.I., NLP
• Hands-on with Python, R, and Tensorflow.
• Advanced Statistics
• Quantitative Masters Degree OR PhD
H1B sponsorship OK

Compensation:
• Contract to Hire: Pay Rate is... $90-$100/Hour
• Perm Hire is $160-170K ""All-in""

Note: We have similar roles available in Boston and Durham, NC",Starbridge Partners,"New York, NY",,Senior / Principal Data Scientist | Commercial Risk / Fraud
"Do you ever wonder what happens inside the cloud?
DigitalOcean is a dynamic, high-growth technology company that serves a robust and passionate community of developers around the world. Our mission is to simplify cloud computing for every developer, making it easy to launch and manage web infrastructure. We are working on solving some of the most challenging and interesting technology projects around, on a scale unmatched by most.
We want people who are passionate about building features that you and your peers will love.
Our Business Operations unit interfaces with the rest of DigitalOcean to ensure our ability to execute on our product vision and support our growing customer base in a data-driven and efficient manner. As a Senior Data Scientist, you will join a growing Data & Analytics team that partners with decision-makers across the organization to catalyze business growth by providing robust and relevant analysis, insights and data products. The D&A team is hands-on with a wide... variety of datasets, including user data, product behavior data, financial/payment data, upper-funnel marketing data, trust and safety data, and operational/infrastructure data.
What You'll Be Doing:
Develop predictive models on large-scale datasets to address a wide range of business problems
Take end-to-end ownership on the implementation of scalable and efficient modeling algorithms that function reliably within large-scale production systems
Work closely with our Manager of Data Science & Engineering as well as team leads across the company to identify and execute on a wide range of opportunities for advanced data modeling and analysis, leveraging advanced statistical modeling, machine learning, or data mining techniques
Some example projects include:
Customer-centric problems such as churn, segmentation, product recommendation
Fraud and anomaly detection
Detection and prediction of various back-end events (e.g. hardware failure)
Time-series forecasting of complex user demand patterns for capacity planning

What We’ll Expect From You:
Bachelor’s degree in Computer Science, Math, Statistics, Economics, or other quantitative field; Masters or PhD strongly preferred
Previous experience in data science or quantitative analytics role, preferably in a high-growth company
Comprehensive understanding of statistical modeling, machine learning and data mining concepts, and experience applying these methods within a business environment
Strong knowledge of Python. Familiarity with at least one statistical modeling / machine learning tool such as R or Matlab is a plus, as well as experience with languages such as Scala or Go
Expert knowledge of, and hands-on experience with, SQL
Demonstrable critical thinking and analytical skills, including the ability and confidence to make conclusions and recommendations from data
Experience interacting with key stakeholders in different fields, interpreting challenges and opportunities into actionable data-driven analysis and implementing science-driven data products
Why You’ll Like Working for DigitalOcean:
We have amazing people. We can promise you will work with some of the smartest and most interesting people in the industry. We work hard but we always have fun doing it. We care deeply about each other and take our “no jerks” rule very seriously.
We value development. We are a high-performance organization that is always challenging ourselves to continuously grow. That means we maintain a growth mindset in everything we do and invest deeply in employee development. You’ll need to be great to get hired here and we promise you’ll get even better.
We care about you. We offer competitive health, dental, and vision benefits for employees and their dependents, a monthly gym reimbursement to support your physical health, and a monthly commute allowance to make your trips to and from work easier.
We invest in your future. We offer competitive compensation and a 401k plan with up to a 4% employer match. We also provide all employees with Kindles and reimbursement for relevant conferences, training, and education.
We want you to love where you work. We have great office spaces located in the heart of SoHo NYC and Cambridge, and offer daily catered lunches to keep your hunger at bay. We’re also very remote-friendly—we use Slack to communicate across the company—and all remote employees have the opportunity to onboard in-office and take an all-expenses paid trip to our annual company offsite, Shark Week, to get quality in-person time with the team at least once a year. We also allow employees to customize their workstations to meet their needs—whether remote or in office.
We value diversity and inclusivity. We are an equal opportunity employer and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Department: Data & Analytics
Want to learn more about our Data & Analtyics team? Clickhere!
Want an inside look into life at DO? Clickhere to hear from our employees",DigitalOcean,"New York, NY",$143k–156k,Data Scientist
"ROLE SUMMARY

The Pfizer Data Science Team in StratCO Business Analytics (BA) is now looking for talented individuals destined to usher in the next era of healthcare. We live in a moment of remarkable change and opportunity. The scale and convergence of business, research, data, and technology is transforming healthcare, biopharmaceutical, and life sciences organizations today. BAâ€™s Data Science team shapes state-of-the-art new analytic capabilities to drive business transformation. We have several openings for data scientists to help in several ongoing commercial and R&D analytics projects.

ROLE RESPONSIBILITIES
• Mining massive amounts of real-world healthcare, research, and business data to extract useful insights.
• Capturing and analyzing data from new and novel data sources.
• Backend data and software engineering to build scalable solutions/algorithms, data pipelines, and helping to automate data processing challenges.
• Designing new means of communication of predictive... modeling results through data visualizations, dashboards, apps, and workshops.
• Designing new visualizations to make descriptive analyses intuitive and more informative for additional modeling.
• Assisting in designing and executing predictive modeling projects using rigorous statistical methods and machine learning techniques.
• Suggesting improvements in the tools and techniques to help scale the team.

QUALIFICATIONS
• 1-2-year experience
• BS degree in Computer Science, Statistics, Data Science, Engineering, Operations Research, Applied Mathematics, Physics, Computational Biology, or similar Quantitative Field from a leading academic institution.
• Some experience/projects involving real-world analytical problems using machine learning, statistical modeling, or similar quantitative approaches.
• Fluency in SQL or other programming languages (Python, Java, and/or C++)
• Some development experience in at least once scripting language (PHP, Perl, Python, etc.).
• Basic understanding of statistical analysis, experience with R, MATLAB, Excel, etc. preferred.
• A passion for problem-solving, comfort with ambiguity, and creativity.
• Ability to thrive in a dynamic and fast-paced environment and drive change, and collaborate effectively with a variety of individuals and organization.

Sunshine Act

Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care providerâ€™s name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.

EEO & Employment Eligibility

Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer.

Other Job Details:
• Last Date to Apply for Job: 4/22/2019
• Eligible for Employee Referral Bonus",Pfizer,"New York, NY",$27–29,"Associate, Data Science"
"About the Company

PlaceIQ is a leading data and technology provider that powers critical business and marketing decisions with location data, analytics and insights. An early industry pioneer, PlaceIQ has become the standard for fueling better decisions by marketers, analysts and publishers through powerful, location-based consumer insights, real-world measurement and attribution.

With PlaceIQ, companies can uncover opportunities within the consumer journey by learning about and connecting with location-based audiences, measuring real-world ROI and applying insights that drive intelligent marketing and successful business outcomes.

The Role:

PlaceIQ Data Scientists design, prototype, and test algorithms that turn hundreds of TBs of raw location data into valuable products. Our approaches include raw data mining, data visualization, creation of heuristics, and supervised / unsupervised machine learning techniques. Working with extremely large data sets requires the design and... development of highly memory and cpu efficient methods. We use a mixture of commercial, open source, and home-grown solutions. Experience with horizontally scaling statistical algorithms is a plus as is familiarity with Spark and/or the Hadoop ecosystem.

Our findings are built into PlaceIQ’s core products. So the technical skills we look for are a mix of computer science, problem solving, and statistics. We are a collaborative team and work closely with engineering, so we value the ability to get deep into the math behind algorithms. We also work closely with teams across the organization, so we look for the ability to communicate technical ideas to non-technical teams. This role is based at our headquarters overlooking Bryant Park in NYC.

Key Responsibilities:
• Design and prototyping of scalable algorithms
• Structuring, cleansing, and assessing the quality of data for downstream processing
• Functional and technical documentation of analysis, findings, and prototypes
• Collaboration with engineering team to productionize prototypes
• Communication of results to teams within PlaceIQ and customers
• Finding creative solutions to business problems then developing them into products
• Owning and driving projects with minimal guidance

Ways to stand out:
• Experience with our favorite tools - Scala, Spark, Python, AB testing, Bayesian statistics, Graphical Data Structures, Functional Programming
• Experience with tools we are exploring - Deep Learning, Probabilistic Graphical Models, Active Learning, Anomaly Detection, Image Classification
• Masters or PhD in a quantitative field
• Extensive background in math or statistics",PlaceIQ,"New York, NY",$112k–136k,Data Scientist
"Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 1,200 offices in 43 countries. As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence and strong team ethic. Morgan Stanley can provide a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture.

Technology

Technology works as a strategic partner with Morgan Stanley business units and the world's leading technology companies to redefine how we do business in ever more global, complex, and dynamic financial markets. Morgan Stanley's sizeable... investment in technology results in quantitative trading systems, cutting-edge modelling and simulation software, comprehensive risk and security systems, and robust client-relationship capabilities, plus the worldwide infrastructure that forms the backbone of these systems and tools. Our insights, our applications and infrastructure give a competitive edge to clients' businesses and to our own.

MS Investment Management (IMIT) Technology

Morgan Stanley Investment Management Technology (IMIT) exclusively partners with the Morgan Stanley Investment Management (MSIM) business division to design and develop systems and integrate vendor products to globally support full life cycle business processing. Activities include Portfolio Analysis, Risk, Trading, Operations, and Sales & Marketing. Morgan Stanley Investment Management (MSIM) Technology also provides holistic support and quality assurance across the suite of applications used in the MSIM environment.

The IMIT Sales Technology team owns Sales & Distribution technology platform. The team is responsible for defining technology strategy in-line with business goals and providing solutions in a very dynamic environment. Sales Platform is a distributed system with several integrated components, providing customized CRM functionality, data/process integration with firm systems, business intelligence through Reporting & Analytics and data driven Marketing & Lead Generation.

Overview:

We are looking for an experienced Data Scientist to join our data-science group. The person in this role would be responsible for analyzing data and developing predictive models for various use-cases within Sales & Marketing such as Sales Targeting & Segmentation, Lead Generation, Product Recommendation, etc. They must have strong experience employing different data mining / data analysis methods, using a variety of data tools, building and implementing models. They must have a proven ability to drive business results with their data-based insights. The ideal candidate is adept at discovering and using wide variety of data-sets together. It is absolutely critical that they are comfortable understanding the business domain and interpreting / explaining the findings of models as it applies to the business problem for people outside data-science domain.

Responsibilities:

Work with stakeholders, identifying opportunities for leveraging data to solve for business challenges.

Identify valuable data sources / data sets that can be leveraged to improve results.

Analyze data to interpret against business opportunity and discover trends and patterns.

Process, cleanse, and verify the integrity of structured / un-structured data used for analysis.

Research and implement custom statistical models and machine learning algorithms.

Execute analytical experiments.
QUALIFICATIONS

Qualifications:

Master’s Degree in Computer Science, Statistics, Applied Math or relevant field.

7+ year’s practical experience as a Data Scientist with proven track record.

Strong math skills (e.g. statistics, algebra, multi-variable calculus).

Expertise with R, SQL and Python; familiarity with Scala, Java or C++ is an asset.

Extensive background in data mining and statistical analysis.

Deep understanding of real-life applicability and limitations of machine-learning algorithms.

Problem-solving aptitude.

Analytical mind and business acumen.

Excellent communication and presentation skills.

Skills and Experience:

Experience with B2B, Financial Industry, Asset Management, Sales & Marketing is highly desired.

Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.

Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.

Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.

Expertise querying Relational / No-SQL databases and using statistical programming languages like R, Python, etc.

Experience with distributed data/computing tools: Hadoop, Hive, Spark, etc.
-Experience visualizing/presenting data for stakeholders using: Business Objects, Tableau, D3.js, ggplot, etc.

Experience with data-science tools : Dataiku, Jupyter, etc.

Knowledge of open-source, 3rd party, cloud based data science / NLP / machine learning platforms (e.g. AWS or Azure offerings",Morgan Stanley Technology,"New York, NY",$121k–135k,Data Scientist
"About Us!

At Maven Wave, we are relentless in hiring the industry’s top talent. Each employee is hand-picked not only for their skills, but for their personality and broad expertise. We are looking for this rare combination of talent that sets us apart in the industry.

Founded in 2008, Maven Wave has experienced rapid growth. We combine the experience and knowledge of a management consulting firm with the innovation and technology expertise of a cloud services firm, providing a truly unique work environment. Employees have the opportunity to gain invaluable experience and make a significant impact on the business outcomes of our clients and our company.

Over the past years, Maven Wave has received the following awards and accolades:
• Google Cloud North America Services Partner of the Year, 2018
• #21 Best Workplaces in Chicago, FORTUNE, 2018
• Great Place To Work Certification, Great Place to Work, 2017 & 2018
• Fast Fifty, Crain's Chicago Business, 2014, 2015, 2016, 2017, 2018
•... 101 Best and Brightest Companies to Work For, National Association for Business Resources (NABR), 2014, 2015, 2016, 2017, 2018
• Top Google Cloud Partner, Clutch, 2017
• Fastest Growing Consulting Firms in North America (#11, #37), Consulting Magazine, 2016, 2017
• Top IT Services Companies, Clutch, 2015
• Google Global Rising Star Partner of the Year 2015

Maven Wave, Google, and YOU: help drive and deliver business results with data-based insights.

We are looking for a Data Scientist who will utilize their analytical, statistical, and programming skills to collect, analyze, and interpret large data sets. The ideal candidate will have the ability to use this information to develop data-driven solutions to difficult business challenges.

Responsibilities:
• Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
• Assist in Data Collection for the purposes of Data Science operations like Machine Learning.
• Assess the effectiveness and accuracy of new data sources and data gathering techniques.
• Develop custom data models and algorithms to apply to data sets.
• Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
• Assess Model accuracy using common metrics (AUC, F1 ...) and explain results to a broader audience
• Coordinate with different functional teams to implement models and monitor outcomes.
• Develop processes and tools to monitor and analyze model performance and data accuracy.

Qualifications:
• 5-7 years of experience manipulating data sets and building statistical models.
• Strong problem solving skills with an emphasis on explainability
• Experience using data science computer languages (R, Python) to manipulate data and draw insights from large data sets.
• Experience working with and creating data architectures.
• Knowledge of a variety of machine learning techniques (clustering, decision tree learning, neural networks, etc.) and their real-world advantages/drawbacks.
• Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
• Excellent written and verbal communication skills for coordinating across teams.
• A drive to learn and master new technologies and techniques.
• Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:
• Coding knowledge and experience with several languages: Python, C, Java, JavaScript, etc.
• Experience with Cloud Computing especially with GCP, AWS
• Working knowledge of using Jupyter notebooks
• Knowledge and experience in statistical and data mining techniques
• Experience querying databases and using SQL
• Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
• Experience analyzing 1 or more machine learning platforms: H2O, DataRobot, Dataiku, Databricks
• Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
• Experience visualizing/presenting data for stakeholders using: Tableau, qlikview, D3, bokeh

Check out our Apps and Data Team",Maven Wave Partners,"New York, NY (+2 others)",$109k–174k,Senior Data Scientist
"As an insurer, we have unique insight into the flow of information through the healthcare system. Oscar’s data team is responsible for ensuring that we leverage this unique informational advantage throughout our organization. From disease modeling to risk management to provider contracting to consumer transparency, we want to use data and analytics to change the way the healthcare system works.

Responsibilities:
• Be(come) an expert on healthcare - and apply that expertise to make the entire system better.
• Solve core business problems in systematic and data-driven ways.
• Build analytical systems to provide insight into and power all corners of our business, from financial risk and clinical operations to customer service and marketing.
• Work with other data team members, product managers and engineers to develop beautiful and data-driven tools to help our members understand and navigate the healthcare system.

About you:
• You are passionate about breaking down and understanding... complex systems.
• You are a strong critical thinker who thrives working with both technical and non-technical people.
• You aren’t afraid of messy data, and excel at structuring and building analytical systems.
• You know how to get things done in a modern data science stack - you have strong SQL skills, experience with data wrangling and script writing (we primarily use Python/pandas) and an appreciation for beautiful data visualization (we’ve mostly been using D3, Seaborn and Looker).
• You see data science as a powerful tool to get things done rather than as an end in itself.
• You get excited about taking ownership of problems and solving them in a fast-paced and scrappy environment.

Most data scientists at Oscar have a strong analytical background from a top university, a few years of experience in industries such as finance or consulting, and/or an advanced degree in a quantitative field. That being said, we have no hard criteria in terms of prior experience - we are looking for the most talented and productive people we can find to join us and help change healthcare.

At Oscar, being an Equal Opportunity Employer means more than upholding discrimination-free hiring practices. It means that we work to cultivate an environment where exceptional people can be their most authentic selves and find both belonging and support. We're on a mission to change healthcare -- an experience made whole by your unique background and perspectives.

Oscar applicants are considered solely based on their qualifications, without regard to applicant’s disability or need for accommodation. Any Oscar applicant who requires reasonable accommodations during the application process should contact the Oscar Benefits Team (accommodations@hioscar.com) to make the need for an accommodation known.

Pay Transparency Policy: Oscar's Pay Transparency Policy ensures that you won't be discharged or discriminated against based on whether you've inquired about, discussed, or disclosed your pay. Read the full policy here",Oscar,"New York, NY",$69.7k–124k,Data Science - Research
"About the right team member:

At Betterment, there is nothing more important than building the best product we possibly can for our customers. Data plays a central role in how we decide what to build, how we design the customer experience, and how we monitor the performance and adoption of our products. We are looking for a talented data scientist to help lead these efforts. Betterment is in a growth stage and our product team’s analytics needs are fairly broad, so the work is bound to stay interesting. At any one time, projects may include working with engineering to improve our AB testing framework, research potential market fit for a new venture, study customer behavior, assess strategic initiatives and assist in fulfilling ad-hoc data requests from the product and design teams.

At Betterment you will get to:

Partner closely with cross-functional teams of product managers, engineers, designers, and user researchers.

Influence the product roadmap and help monitor feature... performance.

Build and improve models of customer behavior, including lifetime value and churn.

Support ad hoc analysis requests as needed, but over time translate them into tools and metrics.

Conduct A/B testing to drive iterative improvement through efficient experimentation

Contribute to Betterment’s data-driven culture, and influence best practices.

Be a member of the broader data science community in NYC, staying abreast of new ideas and trends, and contributing thought leadership.

You will be effective if you have:

4+ years experience applying data science to product development or insights.

Have deep familiarity working with and assessing the success of multiple concurrent AB tests.

Experience using NLP to extract insight from raw text.

Experience applying statistical (or machine learning) models to real-world challenges.

Experience building and iterating on customer LTV models.

Self-starter with a track record of seamless execution of complex projects with minimal guidance.

The ability to write SQL in your sleep.

Strong ability to code in Python or R.

A willingness to be flexible, prioritizing problems that are most pressing and using tools that are most appropriate.

Strong communication skills (both written and verbal) with a focus on efficiency and clarity.

A desire to build strong relationships with colleagues and stakeholders and have the ability to explain complex topics in simple terms.

Experience with data science libraries in these languages.

An eye for beautiful and effective data visualizations, and experience creating them programmatically",Betterment,"New York, NY",$92k–149k,Data Scientist
"You will join the Data Science (DS) team in our New York or Reno office, assisting our ambitious and mission-critical goal of enhancing our models for detecting intent signals from companies all across the world by analyzing, interpreting, and model upon Bombora’s significant reserves of B2B intent data. You will directly contribute to our efforts extract knowledge from web content with use of NLU models. You will implement these models within our analytics libraries. You will have fun (or we really hope you do).

What you'll do:

Lead content-knowledge modeling endeavors at Bombora, responsible for model performance, delivery and impact.
Perform research, analysis and modeling in NLU for extracting conceptual structure from human language contained in web content our system collects.
Implement models, algorithms and machine learning operations, leveraging Apache Spark and PyTorch and other ML libraries.
Recruit, interview, organize and maintain a team of data scientist interns, to... contribute to NLP modeling endeavors.
Employ test-driven development, performance benchmarking, rapid release schedule, and continuous integration.
Evangelize Bombora DS, both internally across company and to customers, industry leaders, and the general business community.
Participate in daily stand-ups, story planning, reviews, retrospectives, and the occasional outing to nearby local cuisine and / or culture.

What you bring to the table:

Education: M.S. / Ph.D. in data science, computer science, physics, electrical engineering, applied mathematics, or related degree
Probability + Statistics: solid fundamentals across the mathematics that allows us to interpret the world, empirically. Against all else, these should be the concepts upon which you always rely.
ML+NLP: solid + professional experience (2+ years) in machine learning applications in natural language processing in both classical and deep learning approaches.
Fluency: In Python, Matlab, or Scala or perhaps a few other languages, (we like Scala, R and Julia).
Agile-minded: fan of TDD and agile methodologies (we're a Kanban team)
Knowledge:

Graphical Theory + Inference: knowledge and experience with common graphical models, e.g. HMM, markov random field, and bayesian network.
Data wrangler: Passionate about data and the ability to leverage data to understand systems.
Algorithms / Data Structures: Design patterns, efficiency, using the right abstraction for the task.
Functional Programming: filters and maps, currying and partial evaluation, group-by and reduce-by, oh my!
Bonus points for experience in:

Data visualization: IPython, matplotlib, D3js, svg.
Graph Processing: Pregel, GraphLab, or GraphX.
Google Cloud Platform: use of GCP to support ML endeavors
Talking shop: around games of ping-pong, pool, and potentially other games that spontaneously erupt in the office.

About Bombora Data Science:

Bombora Data Science is an emergent team tasked with knowledge extraction and insight generation from Bombora's significant reserves of consumer intent data. We are passionate about understanding the complex systems we model and extracting real value from the massive data we analyze. A significant undertaking, we enjoy the challenge, and have fun with the entire Bombora team doing so.

At Bombora, we embrace diversity because it breeds innovation. Bombora is an equal opportunity employer and participates in E-Verify. Employment offers are contingent upon completion of successful background checks",Bombora,"New York, NY",$109k–174k,Senior Data Scientist
